SCHOOLID,SCHOOLNAME,2KID,IS05
337,Samford,370,TRUE
338,Siena,390,TRUE
339,South Alabama,398,TRUE
340,South Carolina State,400,TRUE
341,Southeast Missouri State,406,TRUE
342,Southern A&M,411,TRUE
343,Southern Illinois,413,TRUE
344,Southern Utah,416,TRUE
345,SW Missouri St.,438,TRUE
346,Texas State,455,TRUE
347,St. Francis (NY),420,TRUE
348,St. Francis (PA),421,TRUE
349,St. Peter's,429,TRUE
350,Stephen F. Austin,434,TRUE
351,Stetson,435,TRUE
352,Stony Brook,436,TRUE
354,Tennessee State,447,TRUE
355,Tennessee Tech,448,TRUE
356,Tennessee Martin,446,TRUE
358,Texas Southern,454,TRUE
359,Texas Arlington,452,TRUE
360,Texas San Antonio,453,TRUE
361,Towson,462,TRUE
362,Troy,464,TRUE
363,UC Irvine,471,TRUE
364,UC Riverside,472,TRUE
365,UC Santa Barbara,474,TRUE
371,Utah Valley State,488,TRUE
372,Valparaiso,490,TRUE
373,Vermont,493,TRUE
377,Wagner,501,TRUE
378,Western Illinois,516,TRUE
379,Western Kentucky,517,TRUE
380,Wichita State,519,TRUE
381,William & Mary,520,TRUE
382,Winthrop,523,TRUE
385,Wisconsin-Milwaukee,528,TRUE
386,Wright State,530,TRUE
387,Youngstown,534,TRUE
500,Referee,356,FALSE
501,Albany State,7,TRUE
502,Alief-Elsik (HS),9,TRUE
503,American International,10,TRUE
504,Argentina,12,TRUE
505,Auburn-Montgomery,22,TRUE
506,Augsburg (MN),23,TRUE
507,Augustana,23,TRUE
508,Australia,25,TRUE
509,Barton County CC,28,TRUE
510,Blinn College (TX),35,TRUE
511,Bosnia,37,TRUE
512,Brazil,43,TRUE
513,Butler County CC,47,TRUE
514,BYU,48,TRUE
515,Cal State Bakersfield,49,TRUE
516,Centenary,61,TRUE
517,Central Arkansas,62,TRUE
518,Central Oklahoma,66,TRUE
519,Central State,66,TRUE
520,China,72,TRUE
521,Clifton J. Ozen (HS),79,TRUE
522,Cluj University (ROU),79,TRUE
523,Col. of St. Rose,81,TRUE
524,College of Charleston,83,TRUE
525,Confederation College,87,TRUE
526,Croatia,94,TRUE
527,Cuba,95,TRUE
528,Cypress Creek (HS),96,TRUE
529,Czech Republic,97,TRUE
530,Delta State,104,TRUE
531,Detroit Mercy,109,TRUE
532,Dominguez (HS),110,TRUE
533,East St. Louis (HS),119,TRUE
534,Eau Claire (HS),124,TRUE
535,Elizabeth City,128,TRUE
536,Estonia,130,TRUE
537,Farragut Academy (HS),135,TRUE
538,Fayetteville State,136,TRUE
539,France,145,TRUE
540,Fullerton Coll CA (JC),146,TRUE
541,Germany,156,TRUE
542,Glynn Academy (HS),157,TRUE
543,Grand Canyon,161,TRUE
544,Greece,162,TRUE
545,Hampton Inst.,166,TRUE
546,Hungary,182,TRUE
547,Illinois Wesleyan,188,TRUE
548,Indian Hills CC,191,TRUE
549,Italy,202,TRUE
550,Kaunas,211,TRUE
551,Lewis & Clark,222,TRUE
552,Lithuania,225,TRUE
553,Longwood,228,TRUE
554,Lower Merion (HS),233,TRUE
555,Martin Luther King (HS),244,TRUE
556,Memphis State,253,TRUE
557,Mercy,254,TRUE
558,Mississippi,265,TRUE
559,Morehouse,275,TRUE
560,Mt. Zion C.A. (HS),279,TRUE
561,North Carolina Central,300,TRUE
562,NE Illinois,283,TRUE
563,NE Louisiana,283,TRUE
564,North East Mississippi CC,304,TRUE
565,Truman,464,TRUE
566,Netherlands,285,TRUE
567,Nevada-Reno,286,TRUE
568,Northwestern Oklahoma State,312,TRUE
569,NYU,316,TRUE
570,Oak Hill Academy (HS),318,TRUE
571,Okaloosa-Walton CC,324,TRUE
572,Olympiakos,327,TRUE
573,Petersburg (HS),339,TRUE
574,Pfeiffer,340,TRUE
575,Picayune (HS),342,TRUE
576,Poland,345,TRUE
577,Russia,364,TRUE
578,Russian Ntl. Team,364,TRUE
579,Sacramento City,365,TRUE
580,Sacramento State,366,TRUE
581,Saskatchewan,377,TRUE
582,Southeastern Oklahoma State,409,TRUE
583,Seattle University,384,TRUE
584,Serbia,386,TRUE
585,South Florida,402,TRUE
586,Shaw,388,TRUE
587,Slovenia,393,TRUE
588,Southeastern,406,TRUE
589,Southern Methodist,414,TRUE
590,Soutwestern LA-LAF,416,TRUE
591,Spain,417,TRUE
592,St. Mary's (TX),426,TRUE
593,St. Patrick's (HS),427,TRUE
594,St. Vincent,430,TRUE
595,St. Vincent-St. Mary (HS),431,TRUE
596,Starkville (HS),433,TRUE
597,Stefonel,433,TRUE
598,SW Louisiana,438,TRUE
599,Tenn.-Chattanooga,444,TRUE
600,Texas-Pan American,457,TRUE
601,Master's College,250,TRUE
602,Thornwood (HS),460,TRUE
603,Trenton St.,462,TRUE
604,Trinity Valley CC,463,TRUE
605,Turkey,467,TRUE
606,UMass,477,TRUE
607,UBC,469,TRUE
608,Ukraine,477,TRUE
609,UNC Charlotte,479,TRUE
610,UNC Wilmington-Duplicate,481,TRUE
611,Unknown,482,TRUE
612,VCU,492,TRUE
613,Venezuela,492,TRUE
614,Virginia Union,499,TRUE
615,West Florida,508,TRUE
616,West Virginia State,511,TRUE
617,West Virginia Tech,512,TRUE
618,Washington Union (HS),505,FALSE
619,West Texas State,510,TRUE
620,Westbury Christian (HS),513,FALSE
621,Wingate,521,TRUE
622,Winston-Salem State,522,TRUE
623,Wisconsin-Green Bay,526,TRUE
624,Wisconsin Stevens Point,525,TRUE
625,Yugoslavia,535,TRUE
626,North Dakota,302,TRUE
627,#N/A,#N/A,FALSE
628,Nigeria,295,TRUE
629,Republic of Georgia,357,FALSE
630,Serbia and Montenegro,386,TRUE
631,#N/A,#N/A,FALSE
632,SW Atlanta Christian (HS),438,FALSE
633,Peoria Central (HS),336,FALSE
634,Latvia,217,TRUE
635,#N/A,#N/A,FALSE
636,Puerto Rico,352,TRUE
637,Abraham Lincoln (HS),0,FALSE
638,South Korea,405,FALSE
639,Bakersfield (HS),26,FALSE
640,St. Benedict's Prep (HS),418,FALSE
641,South Kent Prep (HS),404,FALSE
642,Iceland,182,TRUE
643,Southeastern Illinois,407,FALSE
644,North Carolina Central,300,FALSE
645,#N/A,#N/A,FALSE
646,Congo,88,TRUE
647,Coastal Christian Academy,81,FALSE
648,William Paterson University,520,FALSE
649,Seattle Prep (HS),383,FALSE
650,St. Joseph (HS),423,FALSE
651,Gulf Shores Academy (HS),164,FALSE
652,Skyline (HS),392,FALSE
653,IMG Academy,189,FALSE
654,Lanier (HS),217,FALSE
655,South Gwinnett (HS),403,FALSE
656,South Kent Prep (HS),404,FALSE
657,Walsh,502,FALSE
658,Belgium,30,FALSE
659,Westchester (HS),514,FALSE
